mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
O=C(NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C(O)C)CCC(=O)N)CC(C)C)CC(C)C)Cc1c2c([nH]c1)cccc2)CCC(=O)N)C(CC)C)Cc1ccccc1)CCC(=O)O)CCCCN)C)C)CCCCNC(=O)C1C(O)C(O)C(O)C(OCCCCCCCCCCCCCCCCCC(=O)O)O1)CCC(=O)O)CC(=O)O)CC(C)C)Cc1ccc(O)cc1)CCCCN)CO)Cc1ccc(O)cc1)CC(=O)O)CO)Cc1ccccc1)C(O)C)CCC(=O)N)C(NC(=O)C(N)Cc1nc[nH]c1)(C)C,1,8,-14.280351,7.6295862,-246.80956,40.965683,2.7410178,-97.548447,-14.280351,$HOME/My Research/MDM2/sdf for docking/smiles_data19.sdf,0.00057569146,1
O=C(NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C(O)C)CCC(=O)N)CC(C)C)CC(C)C)Cc1c2c([nH]c1)cccc2)CCC(=O)N)C(CC)C)Cc1ccccc1)CCC(=O)O)CCCCN)C)C)CCCCNC(=O)C1C(O)C(O)C(O)C(OCCCCCCCCCCCCCCCCCC(=O)O)O1)CCC(=O)O)CC(=O)O)CC(C)C)Cc1ccc(O)cc1)CCCCN)CO)Cc1ccc(O)cc1)CC(=O)O)CO)Cc1ccccc1)C(O)C)CCC(=O)N)C(NC(=O)C(N)Cc1nc[nH]c1)(C)C,1,8,-14.055394,6.8960729,-234.60066,152.24667,13.7041,-96.87542,-14.055394,$HOME/My Research/MDM2/sdf for docking/smiles_data19.sdf,0.00057569146,1
O=C(NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C(O)C)CCC(=O)N)CC(C)C)CC(C)C)Cc1c2c([nH]c1)cccc2)CCC(=O)N)C(CC)C)Cc1ccccc1)CCC(=O)O)CCCCN)C)C)CCCCNC(=O)C1C(O)C(O)C(O)C(OCCCCCCCCCCCCCCCCCC(=O)O)O1)CCC(=O)O)CC(=O)O)CC(C)C)Cc1ccc(O)cc1)CCCCN)CO)Cc1ccc(O)cc1)CC(=O)O)CO)Cc1ccccc1)C(O)C)CCC(=O)N)C(NC(=O)C(N)Cc1nc[nH]c1)(C)C,1,8,-13.826165,6.7162585,-247.70946,16.953129,-4.1732206,-96.281265,-13.826165,$HOME/My Research/MDM2/sdf for docking/smiles_data19.sdf,0.00057569146,1
O=C(NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C(O)C)CCC(=O)N)CC(C)C)CC(C)C)Cc1c2c([nH]c1)cccc2)CCC(=O)N)C(CC)C)Cc1ccccc1)CCC(=O)O)CCCCN)C)C)CCCCNC(=O)C1C(O)C(O)C(O)C(OCCCCCCCCCCCCCCCCCC(=O)O)O1)CCC(=O)O)CC(=O)O)CC(C)C)Cc1ccc(O)cc1)CCCCN)CO)Cc1ccc(O)cc1)CC(=O)O)CO)Cc1ccccc1)C(O)C)CCC(=O)N)C(NC(=O)C(N)Cc1nc[nH]c1)(C)C,1,8,-13.600079,6.7681189,-232.07941,253.19127,17.559626,-92.604996,-13.600079,$HOME/My Research/MDM2/sdf for docking/smiles_data19.sdf,0.00057569146,1
O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NC(C(=O)NC2C(=O)NC(Cc3c4c([nH]c3)cccc4)C(=O)NC(C(CC)C)C(=O)NC(CCC(=O)N)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)CC(=O)N)CC(C)C)C)CCCCN)CCC(=O)O)CC(C)C)Cc3ccc(O)cc3)CCC(=O)NCCCC2)CC(C)C)Cc2ccccc2)Cc2ccccc2)CCCNC(=N)N)Cc2ccccc2)CCC1)C)CCCNC(=N)N)Cc1ccc(O)cc1)CO)CC(C)C)CO)C(NC(=O)C1N(C(=O)C(N)CCCCN)CCC1)C(C)C,1,29,-13.265651,2.8322883,-385.43707,484.58771,48.357494,-92.059341,-13.265651,$HOME/My Research/MDM2/sdf for docking/smiles_data19.sdf,0,1
O=C(NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C(O)C)CCC(=O)N)CC(C)C)CC(C)C)Cc1c2c([nH]c1)cccc2)CCC(=O)N)C(CC)C)Cc1ccccc1)CCC(=O)O)CCCCN)C)C)CCCCNC(=O)C1C(O)C(O)C(O)C(OCCCCCCCCCCCCCCCCCC(=O)O)O1)CCC(=O)O)CC(=O)O)CC(C)C)Cc1ccc(O)cc1)CCCCN)CO)Cc1ccc(O)cc1)CC(=O)O)CO)Cc1ccccc1)C(O)C)CCC(=O)N)C(NC(=O)C(N)Cc1nc[nH]c1)(C)C,1,8,-12.859987,6.4911971,-220.39984,30.926655,-1.3829236,-90.308395,-12.859987,$HOME/My Research/MDM2/sdf for docking/smiles_data19.sdf,0.00057569146,1
S=P(OCC1C(OP(=S)(OCC2C(O)C(OC)C(N3C(O)=NC(=N)C=C3)O2)O)C(OC)C(N2C(O)=NC(=N)C=C2)O1)(OC1C(OC)C(n2c3ncnc(N)c3nc2)OC1COP(=S)(OC1C(COP(=S)(OC2C(COP(=S)(OC3C(COP(=S)(OC4C(COP(=S)(OC5C(COP(=S)(OC6C(COP(=S)(OC7C(COP(=S)(OC8C(COP(=S)(OC9C(COP(=S)(OC%10C(COP(=S)(OC%11C(COP(=S)(OC%12C(COP(=S)(OC%13C(COP(=S)(OC%14C(COP(=S)(OC%15C(COP(=S)(OC%16C(COP(=S)(OC%17C(CO)OC(N%18C(O)=NC(=N)C=C%18)C%17)O)OC(n%17c%18NC(=N)N=C(O)c%18nc%17)C%16)O)OC(n%16c%17NC(=N)N=C(O)c%17nc%16)C%15)O)OC(N%15C(O)=NC(=N)C=C%15)C%14)O)OC(n%14c%15ncnc(N)c%15nc%14)C%13)O)OC(N%13C(=O)N=C(O)C(C)=C%13)C%12)O)OC(n%12c%13NC(=N)N=C(O)c%13nc%12)C%11)O)OC(N%11C(=O)N=C(O)C(C)=C%11)C%10)O)OC(N%10C(O)=NC(=N)C=C%10)C9)O)OC(N9C(=O)N=C(O)C(C)=C9)C8)O)OC(N8C(O)=NC(=N)C=C8)C7)O)OC(N7C(=O)N=C(O)C(C)=C7)C6)O)OC(N6C(O)=NC(=N)C=C6)C5)O)OC(N5C(=O)N=C(O)C(C)=C5)C4)O)OC(N4C(=O)N=C(O)C(C)=C4)C3)O)OC(n3c4NC(=N)N=C(O)c4nc3)C2)O)OC(N2C(O)=NC(=N)C=C2)C1)O)O,1,24,-12.199505,3.4218228,-3876.7307,221.9126,17.817486,-80.171127,-12.199505,$HOME/My Research/MDM2/sdf for docking/smiles_data19.sdf,0,1
S=P(OCC1C(OP(=S)(OCC2C(O)C(OC)C(N3C(O)=NC(=N)C=C3)O2)O)C(OC)C(N2C(O)=NC(=N)C=C2)O1)(OC1C(OC)C(n2c3ncnc(N)c3nc2)OC1COP(=S)(OC1C(COP(=S)(OC2C(COP(=S)(OC3C(COP(=S)(OC4C(COP(=S)(OC5C(COP(=S)(OC6C(COP(=S)(OC7C(COP(=S)(OC8C(COP(=S)(OC9C(COP(=S)(OC%10C(COP(=S)(OC%11C(COP(=S)(OC%12C(COP(=S)(OC%13C(COP(=S)(OC%14C(COP(=S)(OC%15C(COP(=S)(OC%16C(COP(=S)(OC%17C(CO)OC(N%18C(O)=NC(=N)C=C%18)C%17)O)OC(n%17c%18NC(=N)N=C(O)c%18nc%17)C%16)O)OC(n%16c%17NC(=N)N=C(O)c%17nc%16)C%15)O)OC(N%15C(O)=NC(=N)C=C%15)C%14)O)OC(n%14c%15ncnc(N)c%15nc%14)C%13)O)OC(N%13C(=O)N=C(O)C(C)=C%13)C%12)O)OC(n%12c%13NC(=N)N=C(O)c%13nc%12)C%11)O)OC(N%11C(=O)N=C(O)C(C)=C%11)C%10)O)OC(N%10C(O)=NC(=N)C=C%10)C9)O)OC(N9C(=O)N=C(O)C(C)=C9)C8)O)OC(N8C(O)=NC(=N)C=C8)C7)O)OC(N7C(=O)N=C(O)C(C)=C7)C6)O)OC(N6C(O)=NC(=N)C=C6)C5)O)OC(N5C(=O)N=C(O)C(C)=C5)C4)O)OC(N4C(=O)N=C(O)C(C)=C4)C3)O)OC(n3c4NC(=N)N=C(O)c4nc3)C2)O)OC(N2C(O)=NC(=N)C=C2)C1)O)O,1,24,-11.912618,3.991447,-3900.9673,312.30588,22.879295,-77.662666,-11.912618,$HOME/My Research/MDM2/sdf for docking/smiles_data19.sdf,0,1
O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NCC(=O)N)CO)CO)CCCCN)CCCCN)C(C)C)C(NC(=O)C(NC(=O)C(NC(=O)C1N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C2N(C(=O)C(NC(=O)C(NC(=O)c3cc4C(=O)OC5(c4cc3)c3c(Oc4c5ccc(O)c4)cc(O)cc3)CCC(=O)N)C(C)C)CCC2)Cc2c3c([nH]c2)cccc3)CCC(=O)O)CCC(=O)O)CCC1)Cc1ccc(O)cc1)Cc1ccc(O)cc1)C(C)C,1,6,-11.662112,5.6866131,-15.243461,-10.431878,-2.6835158,-78.876999,-11.662112,$HOME/My Research/MDM2/sdf for docking/smiles_data19.sdf,0,1
S=P(OCC1C(OP(=S)(OCC2C(O)C(OC)C(N3C(O)=NC(=N)C=C3)O2)O)C(OC)C(N2C(O)=NC(=N)C=C2)O1)(OC1C(OC)C(n2c3ncnc(N)c3nc2)OC1COP(=S)(OC1C(COP(=S)(OC2C(COP(=S)(OC3C(COP(=S)(OC4C(COP(=S)(OC5C(COP(=S)(OC6C(COP(=S)(OC7C(COP(=S)(OC8C(COP(=S)(OC9C(COP(=S)(OC%10C(COP(=S)(OC%11C(COP(=S)(OC%12C(COP(=S)(OC%13C(COP(=S)(OC%14C(COP(=S)(OC%15C(COP(=S)(OC%16C(COP(=S)(OC%17C(CO)OC(N%18C(O)=NC(=N)C=C%18)C%17)O)OC(n%17c%18NC(=N)N=C(O)c%18nc%17)C%16)O)OC(n%16c%17NC(=N)N=C(O)c%17nc%16)C%15)O)OC(N%15C(O)=NC(=N)C=C%15)C%14)O)OC(n%14c%15ncnc(N)c%15nc%14)C%13)O)OC(N%13C(=O)N=C(O)C(C)=C%13)C%12)O)OC(n%12c%13NC(=N)N=C(O)c%13nc%12)C%11)O)OC(N%11C(=O)N=C(O)C(C)=C%11)C%10)O)OC(N%10C(O)=NC(=N)C=C%10)C9)O)OC(N9C(=O)N=C(O)C(C)=C9)C8)O)OC(N8C(O)=NC(=N)C=C8)C7)O)OC(N7C(=O)N=C(O)C(C)=C7)C6)O)OC(N6C(O)=NC(=N)C=C6)C5)O)OC(N5C(=O)N=C(O)C(C)=C5)C4)O)OC(N4C(=O)N=C(O)C(C)=C4)C3)O)OC(n3c4NC(=N)N=C(O)c4nc3)C2)O)OC(N2C(O)=NC(=N)C=C2)C1)O)O,1,24,-11.619451,4.3227692,-3894.981,160.85118,18.053278,-77.903954,-11.619451,$HOME/My Research/MDM2/sdf for docking/smiles_data19.sdf,0,1
