mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index,PLIF_raw,FP:PLIF,PLIF_ligidx
P(=O)(OC[C@](N)C(=O)O)(OC[C@](OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC)O,1,145,-8.9970627,3.9310896,-45.557617,-11.13012,-5.1035032,-54.581966,-8.9970627,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.14233398,1,[78 3173 20202 5 0.8],4,78
P(=O)(OC[C@](OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COCCCCCCCCCCCCCCCCCC)(OCCN)O,1,83,-8.9601612,3.125351,-26.782852,-25.225069,-3.8678148,-49.283741,-8.9601612,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[] [] [] [] []],,[]
P(=O)(OC[C@](OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COCCCCCCCCCCCCCCCCCC)(OCCN)O,1,83,-8.9436197,4.5593238,-27.070053,-38.440323,-6.9941411,-49.413445,-8.9436197,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[] [] [] [] []],,[]
Clc1ccc(C2=C(CN3CCN(c4cc(Oc5cnc6[nH]ccc6c5)c(C(=O)NS(=O)(=O)c5cc([N+](=O)[O-])c(NC[C@@]6OCCOC6)cc5)cc4)CC3)CCC3(C2)CCC3)cc1,1,65,-8.9231234,1.9130323,131.76363,-38.45784,-11.015607,-52.836388,-8.9231234,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.68248588,1,[[14 24 31 45 45 45 45 45 45 8 36 32 13 11 9] [3173 563 566 849 852 856 858 854 850 612 612 612 612 612 612] [20202 51 51 67 67 67 67 67 67 54 54 54 54 54 54] [5 2 2 10 10 10 10 10 10 10 10 10 10 10 10] [3.3 0.6 0.5 0.8 0.8 0.8 0.8 0.8 0.8 0.6 0.6 0.6 0.6 0.6 0.6]],40 3 19 4 11,[[24 31] [8 36 32 13 11 9] [45 45 45 45 45 45] 14 14]
P(=O)(OC[C@](OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COCCCCCCCCCCCCCCCCCC)(OCCN)O,1,83,-8.822113,4.0201426,-26.418354,-43.749374,-5.7367988,-49.402794,-8.822113,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[] [] [] [] []],,[]
Clc1ccc(C2=C(CN3CCN(c4cc(Oc5cnc6[nH]ccc6c5)c(C(=O)NS(=O)(=O)c5cc([N+](=O)[O-])c(NC[C@@]6OCCOC6)cc5)cc4)CC3)CCC3(C2)CCC3)cc1,1,65,-8.820014,2.7043672,128.3829,-58.433384,-9.2598877,-52.460587,-8.820014,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.68252331,1,[[45 57 66 64 62 60 58] [756 818 818 818 818 818 818] [62 65 65 65 65 65 65] [1 10 10 10 10 10 10] [0.5 0.7 0.7 0.7 0.7 0.7 0.7]],8 69,[45 [57 66 64 62 60 58]]
P(=O)(OC[C@](OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COCCCCCCCCCCCCCCCCCC)(OCCN)O,1,83,-8.7905798,3.6608632,-25.726233,-49.595749,-4.6833153,-48.89175,-8.7905798,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[] [] [] [] []],,[]
O=C(O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCCCCCCCCCCC)CCC(=O)O)C)C(C)C)CO)CC(C)C)CCCCN)CCC1)[C@](O)C,1,144,-8.7748566,4.3215246,44.123924,116.27755,5.0716071,-50.076839,-8.7748566,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.013076782,1,[74 566 51 2 6.1],40 50,[74 74]
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2N(C(=O)[C@]3NCCC3)CCC2)[C@](O)C)C(C)C)CCC1)[C@](O)C)CCCNC(=N)N,1,28,-8.661109,2.4234886,-10.693699,-48.488342,-9.4096117,-44.678772,-8.661109,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.38699341,1,[[80 84 93 103] [3173 3173 3173 3173] [20202 20202 20202 20202] [5 5 5 5] [2.5 0.7 1.4 7.5]],4 11,[[80 84 93 103] [80 103]]
P(=O)(OC[C@](OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COCCCCCCCCCCCCCCCCCC)(OCCN)O,1,83,-8.6562748,3.6072824,-28.93779,-34.854023,-4.2899446,-47.184444,-8.6562748,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[] [] [] [] []],,[]
Clc1ccc(C2=C(CN3CCN(c4cc(Oc5cnc6[nH]ccc6c5)c(C(=O)NS(=O)(=O)c5cc([N+](=O)[O-])c(NC[C@@]6OCCOC6)cc5)cc4)CC3)CCC3(C2)CCC3)cc1,1,65,-8.5905218,2.5200534,126.32371,-38.30415,-9.2843933,-50.857937,-8.5905218,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.68248588,1,[[57 66 64 62 60 58] [818 818 818 818 818 818] [65 65 65 65 65 65] [10 10 10 10 10 10] [1 1 1 1 1 1]],69 70,[[57 66 64 62 60 58] [57 66 64 62 60 58]]
O=C1N(CCCN2CCOCC2)C(=O)c2c3c4c(c(-c5ccc(CN6CCCC6)cc5)c2)C(=O)N(CCCN2CCOCC2)C(=O)c4cc(NCCN2CCCC2)c13,1,93,-8.5486593,3.5102446,101.62074,-77.495369,-10.079359,-45.102577,-8.5486593,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[97 97 97 97 97 97] [850 854 858 856 852 849] [67 67 67 67 67 67] [10 10 10 10 10 10] [0.7 0.7 0.7 0.7 0.7 0.7]],19,[[97 97 97 97 97 97]]
O=C(O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCCCCCCCCCCC)CCC(=O)O)C)C(C)C)CO)CC(C)C)CCCCN)CCC1)[C@](O)C,1,144,-8.4350729,3.9194796,41.703659,94.840614,3.4409721,-50.786339,-8.4350729,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.0065383911,1,[121 818 65 2 3.3],36 37,[121 121]
Clc1ccc(C2=C(CN3CCN(c4cc(Oc5cnc6[nH]ccc6c5)c(C(=O)NS(=O)(=O)c5cc([N+](=O)[O-])c(NC[C@@]6OCCOC6)cc5)cc4)CC3)CCC3(C2)CCC3)cc1,1,65,-8.421689,2.016216,127.87898,-64.046997,-9.580677,-49.494965,-8.421689,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.68252331,1,[[14 24 8 36 32 13 11 9 8 36 32 13 11 9] [3173 563 607 607 607 607 607 607 612 612 612 612 612 612] [20202 51 54 54 54 54 54 54 54 54 54 54 54 54] [5 2 10 10 10 10 10 10 10 10 10 10 10 10] [2.4 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.6 0.6 0.6 0.6 0.6 0.6]],40 3 4 11,[24 [8 36 32 13 11 9 8 36 32 13 11 9] 14 14]
O=C1N(CCCN2CCOCC2)C(=O)c2c3c4c(c(-c5ccc(CN6CCCC6)cc5)c2)C(=O)N(CCCN2CCOCC2)C(=O)c4cc(NCCN2CCCC2)c13,1,93,-8.414402,2.4105444,102.36559,-84.789223,-10.026113,-56.209419,-8.414402,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[16 818 65 2 6.5],36 37,[16 16]
O=C1N(CCCN2CCOCC2)C(=O)c2c3c4c(c(-c5ccc(CN6CCCC6)cc5)c2)C(=O)N(CCCN2CCOCC2)C(=O)c4cc(NCCN2CCCC2)c13,1,93,-8.4038925,4.127768,102.15951,-57.658783,-9.4263334,-45.983391,-8.4038925,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[] [] [] [] []],,[]
O=C(OC)CC[C@@](C)[C@@]1[C@]2(C)[C@]([C@@]3[C@](O)C[C@@]4[C@@](C)([C@]3CC2)CC[C@](NCCCCNCc2ncccc2)C4)CC1,1,121,-8.3997316,2.7694023,50.917629,-65.837692,-7.7880659,-46.032436,-8.3997316,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[60 818 65 2 3.4],36 37,[60 60]
