mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
Fc1c(Cn2c3nc(OCCCC)nc(NCCN4CCOCC4)c3nc2)c(F)ccc1,1,374,-7.9318733,1.9729782,71.656273,-59.939476,-10.484524,-40.311325,-7.9318733,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,1.9580078,1
O=C(N[C@@]1C(=O)NCCCCCCn2c3c(c(c2)C1)cccc3)[C@@](CC(=O)NO)CC(C)C,1,871,-7.90977,1.0895177,-6.0635028,-72.676537,-10.760316,-42.123016,-7.90977,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,3.1122403,1
S(=O)(=O)(N(C[C@@](O)[C@@](NC(=O)CCC(=O)NC)Cc1ccccc1)CC1CC1)c1occc1,1,635,-7.8738565,1.7260827,149.20665,-69.020775,-9.396348,-40.642143,-7.8738565,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,0.79949719,1
O=C(N[C@@]1C(=O)NCCCCCCn2c3c(c(c2)C1)cccc3)[C@@](CC(=O)NO)CC(C)C,1,871,-7.8395958,1.7772633,-11.592071,-88.184128,-9.9465494,-41.258896,-7.8395958,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,2.611752,1
FCC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)OCc1ccccc1)C(C)C)C)CC(=O)O,1,198,-7.8144965,1.6539481,-85.711548,-94.828873,-8.5495005,-46.659599,-7.8144965,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,0.53830719,1
O=C([C@@](C/C=C/C)n1nnc([C@@](NC(=O)c2ccccc2)(C(C)C)C)c1)C,1,322,-7.7186956,1.3378346,6.5228753,-76.805275,-8.2755594,-35.992413,-7.7186956,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,0.077575684,1
S(=O)(=O)(NCC(=O)N[C@@](C(=O)N1CCCCC1)CCNc1cc[n+]cc1)C1CCCCC1,1,371,-7.6672602,1.6176376,-21.922873,-66.525787,-10.701164,-36.30904,-7.6672602,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,0.01043129,1
[P@@](=O)(OC[C@](NC(=O)CCCCCCCCCCC)CCCC)(OCCO)O,1,122,-7.6147413,0.95629495,-92.890236,-102.8215,-11.825297,-40.086761,-7.6147413,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,0.75302118,1
O=C(O)C(NC(=O)c1cc2n3c(c(C4CCCCC4)c2cc1)-c1c(OCC3)cccc1)(C)C,1,456,-7.5946646,1.3332881,50.822289,-103.51301,-11.490005,-33.078518,-7.5946646,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,0.30679154,1
S(C(=O)CCCCC)CCNC(=O)CCNC(=O)[C@@](O)C(COP(=O)(O)O)(C)C,1,960,-7.5762248,2.75893,-162.55118,-85.225983,-10.546418,-44.87949,-7.5762248,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,0.6537776,1
O(CCCn1cncc1)c1c(Nc2nc(C#N)nc3n(C4CCCC4)cnc23)cccc1,1,399,-7.520577,2.5062723,118.81433,-74.823288,-8.9716616,-38.155998,-7.520577,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,3.2050083,1
O=C(Nc1cc2n(CC[C@](CO)n3cc(C(=O)N)nc3)ccc2cc1)CCc1ccccc1,1,232,-7.5179691,3.0588577,11.657323,-69.12867,-9.0118361,-38.233593,-7.5179691,$HOME/My Research/MDM2/sdf for docking/smiles_data23.sdf,3.2825809,1
