mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
S=P(OC[C@@]1[C@@](OP(=S)(OC[C@@]2[C@@](OP(=S)(OC[C@@]3[C@@](OP(=S)(OC[C@@]4[C@@](OP(=S)(OC[C@@]5[C@@](OP(=S)(OC[C@@]6[C@@](OP(=S)(OC[C@@]7[C@@](OP(=S)(OC[C@@]8[C@@](OP(=S)(OC[C@@]9[C@@](OP(=S)(OC[C@@]%10[C@@](O)C[C@](N%11C(=O)NC(=O)C(C)=C%11)O%10)O)C[C@](N%10C(=O)N=C(N)C=C%10)O9)O)C[C@](n9c%10N=C(N)NC(=O)c%10nc9)O8)O)C[C@](N8C(=O)NC(=O)C(C)=C8)O7)O)C[C@](N7C(=O)N=C(N)C=C7)O6)O)C[C@](n6c7N=C(N)NC(=O)c7nc6)O5)O)C[C@](N5C(=O)NC(=O)C(C)=C5)O4)O)C[C@](N4C(=O)NC(=O)C(C)=C4)O3)O)C[C@](N3C(=O)NC(=O)C(C)=C3)O2)O)C[C@](N2C(=O)NC(=O)C(C)=C2)O1)(O[C@@]1[C@@](COP(=S)(O[C@@]2[C@@](COP(=S)(O[C@@]3[C@@](COP(=S)(O[C@@]4[C@@](COP(=S)(O[C@@]5[C@@](COP(=S)(O[C@@]6[C@@](COP(=S)(O[C@@]7[C@@](COP(=S)(O[C@@]8[C@@](COP(=S)(O[C@@]9[C@@](COP(=S)(O[C@@]%10[C@@](COP(=S)(O[C@@]%11[C@@](COP(=S)(O[C@@]%12[C@@](COP(=S)(O[C@@]%13[C@@](COP(=S)(O[C@@]%14[C@@](CO)O[C@@](N%15C(=O)NC(=O)C(C)=C%15)C%14)O)O[C@@](N%14C(=O)NC(=O)C(C)=C%14)C%13)O)O[C@@](n%13c%14N=C(N)NC(=O)c%14nc%13)C%12)O)O[C@@](N%12C(=O)N=C(N)C=C%12)C%11)O)O[C@@](N%11C(=O)NC(=O)C(C)=C%11)C%10)O)O[C@@](n%10c%11N=C(N)NC(=O)c%11nc%10)C9)O)O[C@@](N9C(=O)NC(=O)C(C)=C9)C8)O)O[C@@](N8C(=O)NC(=O)C(C)=C8)C7)O)O[C@@](N7C(=O)NC(=O)C(C)=C7)C6)O)O[C@@](N6C(=O)NC(=O)C(C)=C6)C5)O)O[C@@](n5c6N=C(N)NC(=O)c6nc5)C4)O)O[C@@](N4C(=O)N=C(N)C=C4)C3)O)O[C@@](N3C(=O)NC(=O)C(C)=C3)C2)O)O[C@@](n2c3N=C(N)NC(=O)c3nc2)C1)O,1,9,-14.151754,5.6895895,-5402.2134,168.04639,14.056869,-102.07764,-14.151754,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data10.sdf,0,1
S=P(OC[C@@]1[C@@](OP(=S)(OC[C@@]2[C@@](OP(=S)(OC[C@@]3[C@@](OP(=S)(OC[C@@]4[C@@](OP(=S)(OC[C@@]5[C@@](OP(=S)(OC[C@@]6[C@@](OP(=S)(OC[C@@]7[C@@](OP(=S)(OC[C@@]8[C@@](OP(=S)(OC[C@@]9[C@@](OP(=S)(OC[C@@]%10[C@@](O)C[C@](N%11C(=O)NC(=O)C(C)=C%11)O%10)O)C[C@](N%10C(=O)N=C(N)C=C%10)O9)O)C[C@](n9c%10N=C(N)NC(=O)c%10nc9)O8)O)C[C@](N8C(=O)NC(=O)C(C)=C8)O7)O)C[C@](N7C(=O)N=C(N)C=C7)O6)O)C[C@](n6c7N=C(N)NC(=O)c7nc6)O5)O)C[C@](N5C(=O)NC(=O)C(C)=C5)O4)O)C[C@](N4C(=O)NC(=O)C(C)=C4)O3)O)C[C@](N3C(=O)NC(=O)C(C)=C3)O2)O)C[C@](N2C(=O)NC(=O)C(C)=C2)O1)(O[C@@]1[C@@](COP(=S)(O[C@@]2[C@@](COP(=S)(O[C@@]3[C@@](COP(=S)(O[C@@]4[C@@](COP(=S)(O[C@@]5[C@@](COP(=S)(O[C@@]6[C@@](COP(=S)(O[C@@]7[C@@](COP(=S)(O[C@@]8[C@@](COP(=S)(O[C@@]9[C@@](COP(=S)(O[C@@]%10[C@@](COP(=S)(O[C@@]%11[C@@](COP(=S)(O[C@@]%12[C@@](COP(=S)(O[C@@]%13[C@@](COP(=S)(O[C@@]%14[C@@](CO)O[C@@](N%15C(=O)NC(=O)C(C)=C%15)C%14)O)O[C@@](N%14C(=O)NC(=O)C(C)=C%14)C%13)O)O[C@@](n%13c%14N=C(N)NC(=O)c%14nc%13)C%12)O)O[C@@](N%12C(=O)N=C(N)C=C%12)C%11)O)O[C@@](N%11C(=O)NC(=O)C(C)=C%11)C%10)O)O[C@@](n%10c%11N=C(N)NC(=O)c%11nc%10)C9)O)O[C@@](N9C(=O)NC(=O)C(C)=C9)C8)O)O[C@@](N8C(=O)NC(=O)C(C)=C8)C7)O)O[C@@](N7C(=O)NC(=O)C(C)=C7)C6)O)O[C@@](N6C(=O)NC(=O)C(C)=C6)C5)O)O[C@@](n5c6N=C(N)NC(=O)c6nc5)C4)O)O[C@@](N4C(=O)N=C(N)C=C4)C3)O)O[C@@](N3C(=O)NC(=O)C(C)=C3)C2)O)O[C@@](n2c3N=C(N)NC(=O)c3nc2)C1)O,1,9,-13.048515,3.9164884,-5415.0449,359.71442,32.256264,-101.24376,-13.048515,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data10.sdf,0,1
S=P(OC[C@@]1[C@@](OP(=S)(OC[C@@]2[C@@](OP(=S)(OC[C@@]3[C@@](OP(=S)(OC[C@@]4[C@@](OP(=S)(OC[C@@]5[C@@](OP(=S)(OC[C@@]6[C@@](OP(=S)(OC[C@@]7[C@@](OP(=S)(OC[C@@]8[C@@](OP(=S)(OC[C@@]9[C@@](OP(=S)(OC[C@@]%10[C@@](O)C[C@](N%11C(=O)NC(=O)C(C)=C%11)O%10)O)C[C@](N%10C(=O)N=C(N)C=C%10)O9)O)C[C@](n9c%10N=C(N)NC(=O)c%10nc9)O8)O)C[C@](N8C(=O)NC(=O)C(C)=C8)O7)O)C[C@](N7C(=O)N=C(N)C=C7)O6)O)C[C@](n6c7N=C(N)NC(=O)c7nc6)O5)O)C[C@](N5C(=O)NC(=O)C(C)=C5)O4)O)C[C@](N4C(=O)NC(=O)C(C)=C4)O3)O)C[C@](N3C(=O)NC(=O)C(C)=C3)O2)O)C[C@](N2C(=O)NC(=O)C(C)=C2)O1)(O[C@@]1[C@@](COP(=S)(O[C@@]2[C@@](COP(=S)(O[C@@]3[C@@](COP(=S)(O[C@@]4[C@@](COP(=S)(O[C@@]5[C@@](COP(=S)(O[C@@]6[C@@](COP(=S)(O[C@@]7[C@@](COP(=S)(O[C@@]8[C@@](COP(=S)(O[C@@]9[C@@](COP(=S)(O[C@@]%10[C@@](COP(=S)(O[C@@]%11[C@@](COP(=S)(O[C@@]%12[C@@](COP(=S)(O[C@@]%13[C@@](COP(=S)(O[C@@]%14[C@@](CO)O[C@@](N%15C(=O)NC(=O)C(C)=C%15)C%14)O)O[C@@](N%14C(=O)NC(=O)C(C)=C%14)C%13)O)O[C@@](n%13c%14N=C(N)NC(=O)c%14nc%13)C%12)O)O[C@@](N%12C(=O)N=C(N)C=C%12)C%11)O)O[C@@](N%11C(=O)NC(=O)C(C)=C%11)C%10)O)O[C@@](n%10c%11N=C(N)NC(=O)c%11nc%10)C9)O)O[C@@](N9C(=O)NC(=O)C(C)=C9)C8)O)O[C@@](N8C(=O)NC(=O)C(C)=C8)C7)O)O[C@@](N7C(=O)NC(=O)C(C)=C7)C6)O)O[C@@](N6C(=O)NC(=O)C(C)=C6)C5)O)O[C@@](n5c6N=C(N)NC(=O)c6nc5)C4)O)O[C@@](N4C(=O)N=C(N)C=C4)C3)O)O[C@@](N3C(=O)NC(=O)C(C)=C3)C2)O)O[C@@](n2c3N=C(N)NC(=O)c3nc2)C1)O,1,9,-12.931267,3.6555624,-5219.8682,133.26247,17.068104,-84.491241,-12.931267,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data10.sdf,0,1
S=P(OC[C@@]1[C@@](OP(=S)(OC[C@@]2[C@@](OP(=S)(OC[C@@]3[C@@](OP(=S)(OC[C@@]4[C@@](OP(=S)(OC[C@@]5[C@@](OP(=S)(OC[C@@]6[C@@](OP(=S)(OC[C@@]7[C@@](OP(=S)(OC[C@@]8[C@@](OP(=S)(OC[C@@]9[C@@](OP(=S)(OC[C@@]%10[C@@](O)C[C@](N%11C(=O)NC(=O)C(C)=C%11)O%10)O)C[C@](N%10C(=O)N=C(N)C=C%10)O9)O)C[C@](n9c%10N=C(N)NC(=O)c%10nc9)O8)O)C[C@](N8C(=O)NC(=O)C(C)=C8)O7)O)C[C@](N7C(=O)N=C(N)C=C7)O6)O)C[C@](n6c7N=C(N)NC(=O)c7nc6)O5)O)C[C@](N5C(=O)NC(=O)C(C)=C5)O4)O)C[C@](N4C(=O)NC(=O)C(C)=C4)O3)O)C[C@](N3C(=O)NC(=O)C(C)=C3)O2)O)C[C@](N2C(=O)NC(=O)C(C)=C2)O1)(O[C@@]1[C@@](COP(=S)(O[C@@]2[C@@](COP(=S)(O[C@@]3[C@@](COP(=S)(O[C@@]4[C@@](COP(=S)(O[C@@]5[C@@](COP(=S)(O[C@@]6[C@@](COP(=S)(O[C@@]7[C@@](COP(=S)(O[C@@]8[C@@](COP(=S)(O[C@@]9[C@@](COP(=S)(O[C@@]%10[C@@](COP(=S)(O[C@@]%11[C@@](COP(=S)(O[C@@]%12[C@@](COP(=S)(O[C@@]%13[C@@](COP(=S)(O[C@@]%14[C@@](CO)O[C@@](N%15C(=O)NC(=O)C(C)=C%15)C%14)O)O[C@@](N%14C(=O)NC(=O)C(C)=C%14)C%13)O)O[C@@](n%13c%14N=C(N)NC(=O)c%14nc%13)C%12)O)O[C@@](N%12C(=O)N=C(N)C=C%12)C%11)O)O[C@@](N%11C(=O)NC(=O)C(C)=C%11)C%10)O)O[C@@](n%10c%11N=C(N)NC(=O)c%11nc%10)C9)O)O[C@@](N9C(=O)NC(=O)C(C)=C9)C8)O)O[C@@](N8C(=O)NC(=O)C(C)=C8)C7)O)O[C@@](N7C(=O)NC(=O)C(C)=C7)C6)O)O[C@@](N6C(=O)NC(=O)C(C)=C6)C5)O)O[C@@](n5c6N=C(N)NC(=O)c6nc5)C4)O)O[C@@](N4C(=O)N=C(N)C=C4)C3)O)O[C@@](N3C(=O)NC(=O)C(C)=C3)C2)O)O[C@@](n2c3N=C(N)NC(=O)c3nc2)C1)O,1,9,-12.904389,3.6093152,-5417.3052,362.53006,34.121075,-89.187233,-12.904389,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data10.sdf,0,1
S=P(OC[C@@]1[C@@](OP(=S)(OC[C@@]2[C@@](OP(=S)(OC[C@@]3[C@@](OP(=S)(OC[C@@]4[C@@](OP(=S)(OC[C@@]5[C@@](OP(=S)(OC[C@@]6[C@@](OP(=S)(OC[C@@]7[C@@](OP(=S)(OC[C@@]8[C@@](OP(=S)(OC[C@@]9[C@@](OP(=S)(OC[C@@]%10[C@@](O)C[C@](N%11C(=O)NC(=O)C(C)=C%11)O%10)O)C[C@](N%10C(=O)N=C(N)C=C%10)O9)O)C[C@](n9c%10N=C(N)NC(=O)c%10nc9)O8)O)C[C@](N8C(=O)NC(=O)C(C)=C8)O7)O)C[C@](N7C(=O)N=C(N)C=C7)O6)O)C[C@](n6c7N=C(N)NC(=O)c7nc6)O5)O)C[C@](N5C(=O)NC(=O)C(C)=C5)O4)O)C[C@](N4C(=O)NC(=O)C(C)=C4)O3)O)C[C@](N3C(=O)NC(=O)C(C)=C3)O2)O)C[C@](N2C(=O)NC(=O)C(C)=C2)O1)(O[C@@]1[C@@](COP(=S)(O[C@@]2[C@@](COP(=S)(O[C@@]3[C@@](COP(=S)(O[C@@]4[C@@](COP(=S)(O[C@@]5[C@@](COP(=S)(O[C@@]6[C@@](COP(=S)(O[C@@]7[C@@](COP(=S)(O[C@@]8[C@@](COP(=S)(O[C@@]9[C@@](COP(=S)(O[C@@]%10[C@@](COP(=S)(O[C@@]%11[C@@](COP(=S)(O[C@@]%12[C@@](COP(=S)(O[C@@]%13[C@@](COP(=S)(O[C@@]%14[C@@](CO)O[C@@](N%15C(=O)NC(=O)C(C)=C%15)C%14)O)O[C@@](N%14C(=O)NC(=O)C(C)=C%14)C%13)O)O[C@@](n%13c%14N=C(N)NC(=O)c%14nc%13)C%12)O)O[C@@](N%12C(=O)N=C(N)C=C%12)C%11)O)O[C@@](N%11C(=O)NC(=O)C(C)=C%11)C%10)O)O[C@@](n%10c%11N=C(N)NC(=O)c%11nc%10)C9)O)O[C@@](N9C(=O)NC(=O)C(C)=C9)C8)O)O[C@@](N8C(=O)NC(=O)C(C)=C8)C7)O)O[C@@](N7C(=O)NC(=O)C(C)=C7)C6)O)O[C@@](N6C(=O)NC(=O)C(C)=C6)C5)O)O[C@@](n5c6N=C(N)NC(=O)c6nc5)C4)O)O[C@@](N4C(=O)N=C(N)C=C4)C3)O)O[C@@](N3C(=O)NC(=O)C(C)=C3)C2)O)O[C@@](n2c3N=C(N)NC(=O)c3nc2)C1)O,1,9,-12.734875,3.5315411,-5405.3755,83.697113,12.248055,-86.693024,-12.734875,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data10.sdf,0,1
O=C(OC(COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)CCCCCCCCCCC/C=C\CCCCCCCC,1,750,-10.506664,7.7267332,53.255733,243.40767,21.440742,-64.102837,-10.506664,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data10.sdf,0.24084473,1
Clc1ccc(C2=C(CN3CCN(c4ccc(C(=O)NS(=O)(=O)c5cc(S(=O)(=O)C(F)(F)F)c(N[C@@](CSc6ccccc6)CCN6CCN(C(=O)CCCCCC(=O)N[C@@](C(C)(C)C)C(=O)N7[C@](C(=O)N[C@@](C)c8ccc(-c9c(C)ncs9)cc8)C[C@@](O)C7)CC6)cc5)cc4)CC3)CC(C)(C)CC2)cc1,1,807,-9.9381628,3.9882972,129.49191,60.091507,-2.3132577,-60.495548,-9.9381628,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data10.sdf,2.3720758,1
O=C(O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC)CCCNC(=N)N)C(C)C)Cc2ccc(O)cc2)C(C)C)Cc2[nH]cnc2)CCC1)C,1,98,-9.8550911,2.8090918,-75.844276,-64.554001,-8.1424389,-58.471649,-9.8550911,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data10.sdf,0.01043129,1
Clc1ccc(C2=C(CN3CCN(c4ccc(C(=O)NS(=O)(=O)c5cc(S(=O)(=O)C(F)(F)F)c(N[C@@](CSc6ccccc6)CCN6CCN(C(=O)CCCCCC(=O)N[C@@](C(C)(C)C)C(=O)N7[C@](C(=O)N[C@@](C)c8ccc(-c9c(C)ncs9)cc8)C[C@@](O)C7)CC6)cc5)cc4)CC3)CC(C)(C)CC2)cc1,1,807,-9.6942577,2.645499,134.17818,-71.993111,-10.287468,-57.665771,-9.6942577,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data10.sdf,2.3720758,1
Clc1ccc(C2=C(CN3CCN(c4ccc(C(=O)NS(=O)(=O)c5cc(S(=O)(=O)C(F)(F)F)c(N[C@@](CSc6ccccc6)CCN6CCN(C(=O)CCCCCC(=O)N[C@@](C(C)(C)C)C(=O)N7[C@](C(=O)N[C@@](C)c8ccc(-c9c(C)ncs9)cc8)C[C@@](O)C7)CC6)cc5)cc4)CC3)CC(C)(C)CC2)cc1,1,807,-9.6459351,3.0239406,138.69937,83.162689,1.3234867,-57.376671,-9.6459351,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data10.sdf,2.3720758,1
