mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
S(CCC(NC(=O)C(NC(=O)C1N(C(=O)C(N)CO)CCC1)CCCCN)C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC1C(=O)NC(Cc2ccccc2)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(CC)C)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(CC(C)C)C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)Cc2[nH]cnc2)CCCNC(=N)N)CCCNC(=N)N)CC(C)C)C(C)C)CCCCN)CSSC1)CO)CCC(=O)N)C(C)C)C,1,143,-12.208351,2.914238,-581.34998,-2.6732721,-1.9997596,-84.322792,-12.208351,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,2.578234,1
S(CCC(NC(=O)C(NC(=O)C1N(C(=O)C(N)CO)CCC1)CCCCN)C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC1C(=O)NC(Cc2ccccc2)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(CC)C)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(CC(C)C)C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)Cc2[nH]cnc2)CCCNC(=N)N)CCCNC(=N)N)CC(C)C)C(C)C)CCCCN)CSSC1)CO)CCC(=O)N)C(C)C)C,1,143,-11.138422,3.7562959,-595.43665,42.970299,-0.47027639,-73.935562,-11.138422,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,2.5975378,1
S(CCC(NC(=O)C(NC(=O)C1N(C(=O)C(N)CO)CCC1)CCCCN)C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC1C(=O)NC(Cc2ccccc2)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(CC)C)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(CC(C)C)C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)Cc2[nH]cnc2)CCCNC(=N)N)CCCNC(=N)N)CC(C)C)C(C)C)CCCCN)CSSC1)CO)CCC(=O)N)C(C)C)C,1,143,-11.118736,3.3426785,-585.78491,62.132286,-1.9352252,-74.170746,-11.118736,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,2.578234,1
S(CCC(NC(=O)C(NC(=O)C1N(C(=O)C(N)CO)CCC1)CCCCN)C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC1C(=O)NC(Cc2ccccc2)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(CC)C)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(CC(C)C)C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)Cc2[nH]cnc2)CCCNC(=N)N)CCCNC(=N)N)CC(C)C)C(C)C)CCCCN)CSSC1)CO)CCC(=O)N)C(C)C)C,1,143,-11.079666,2.9943893,-578.85193,7.0605531,-0.94946367,-63.948429,-11.079666,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,2.5975378,1
S(CCC(NC(=O)C(NC(=O)C1N(C(=O)C(N)CO)CCC1)CCCCN)C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC1C(=O)NC(Cc2ccccc2)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(CC)C)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(CC(C)C)C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)Cc2[nH]cnc2)CCCNC(=N)N)CCCNC(=N)N)CC(C)C)C(C)C)CCCCN)CSSC1)CO)CCC(=O)N)C(C)C)C,1,143,-10.775674,2.9043517,-573.16211,42.15086,0.37704283,-62.152645,-10.775674,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,2.5975378,1
P(=O)(OCC(OC(=O)CCCCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCC=CCCCC)(OCC[N+](C)(C)C)[O-],1,6,-9.2528677,2.6412039,-87.419357,-40.306351,-7.7715378,-46.775604,-9.2528677,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,0,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCCC(=O)N)NC(=O)C(C(CC)C)NC(=O)C(Cc3ccccc3)NC(=O)C(N)CSSC2)CCC1)CCCNC(C)C,1,144,-9.2072124,2.4338977,-37.087898,-25.126566,-8.9856186,-54.197392,-9.2072124,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,0,1
P(=O)(OCC(OC(=O)CCCCCCCCCCCCCCCCC)COC=CCCCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],1,116,-9.1349621,3.7248225,-70.551659,66.605087,-8.0374689,-52.354233,-9.1349621,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,0,1
P(=O)(OCC(OC(=O)CCCCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCC=CCCCCCC)(OCC[N+](C)(C)C)[O-],1,14,-9.0652275,2.6708877,-86.961647,-30.946667,-6.7189851,-54.591591,-9.0652275,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,0,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCCC(=O)N)NC(=O)C(C(CC)C)NC(=O)C(Cc3ccccc3)NC(=O)C(N)CSSC2)CCC1)CCCNC(C)C,1,144,-9.0309744,2.2521763,-40.420811,-43.402798,-9.1290474,-50.354496,-9.0309744,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,0,1
P(=O)(OCC(OC(=O)CCCCCCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCC=CCC=CCCCCC)(OCC[N+](C)(C)C)[O-],1,100,-8.9645977,2.9132767,-76.187744,12.021263,-7.7652264,-50.510307,-8.9645977,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,0,1
P(=O)(OCC(OC(=O)CCCCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCC=CCCCCCC)(OCC[N+](C)(C)C)[O-],1,14,-8.9493856,3.0708132,-89.019958,-41.838158,-5.9467483,-54.454994,-8.9493856,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,0,1
P(=O)(OCC(OC(=O)CCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],1,93,-8.9385567,3.635956,-67.307236,-0.13573529,-8.3507738,-47.325165,-8.9385567,$HOME/My Research/MDM2/sdf for docking/smiles_data17.sdf,3.0108054,1
